,TEAM_ID,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612744,26.54,54.05,0.491,0.526,-0.035
1,1610612762,30.08,60.47,0.497,0.529,-0.032
2,1610612755,27.67,54.86,0.504,0.527,-0.023
3,1610612747,28.35,55.68,0.509,0.529,-0.02
4,1610612749,27.75,54.22,0.512,0.527,-0.015
5,1610612759,28.69,55.75,0.515,0.528,-0.014
6,1610612752,25.05,48.65,0.515,0.528,-0.013
7,1610612756,28.54,54.31,0.526,0.533,-0.008
8,1610612748,23.92,45.86,0.522,0.529,-0.008
9,1610612761,24.5,46.92,0.522,0.53,-0.008
10,1610612754,29.17,56.14,0.52,0.526,-0.007
11,1610612745,28.88,55.26,0.523,0.527,-0.005
12,1610612746,29.18,55.08,0.53,0.532,-0.002
13,1610612751,30.59,58,0.527,0.527,0
14,1610612742,27.09,50.97,0.531,0.531,0.001
15,1610612764,29.26,55.18,0.53,0.527,0.003
16,1610612750,31.19,58.75,0.531,0.526,0.005
17,1610612737,29.19,54.83,0.532,0.528,0.005
18,1610612763,27.28,50.72,0.538,0.532,0.006
19,1610612739,28.53,53.58,0.532,0.527,0.006
20,1610612738,27.72,51.56,0.538,0.53,0.008
21,1610612740,26.47,48.69,0.544,0.533,0.01
22,1610612760,29.44,54.72,0.538,0.528,0.01
23,1610612757,29.03,53.63,0.541,0.53,0.011
24,1610612753,28.08,51.89,0.541,0.529,0.012
25,1610612765,29.31,54.03,0.542,0.53,0.013
26,1610612758,31.03,56.83,0.546,0.529,0.017
27,1610612743,27.64,50.22,0.55,0.533,0.017
28,1610612741,30.79,56.26,0.547,0.528,0.02
29,1610612766,26.4,47.83,0.552,0.528,0.024
