,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612755,Philadelphia 76ers,PHI,37,37,0.374,411,1218,0.337,0.366,-0.029
1,1610612749,Milwaukee Bucks,MIL,39,39,0.368,458,1357,0.338,0.365,-0.028
2,1610612740,New Orleans Pelicans,NOP,40,40,0.442,518,1538,0.337,0.364,-0.028
3,1610612745,Houston Rockets,HOU,38,38,0.413,464,1367,0.339,0.366,-0.026
4,1610612757,Portland Trail Blazers,POR,38,38,0.381,432,1268,0.341,0.366,-0.025
5,1610612750,Minnesota Timberwolves,MIN,38,38,0.373,435,1257,0.346,0.367,-0.021
6,1610612753,Orlando Magic,ORL,39,39,0.38,454,1279,0.355,0.368,-0.013
7,1610612744,Golden State Warriors,GSW,39,39,0.397,500,1395,0.358,0.369,-0.011
8,1610612760,Oklahoma City Thunder,OKC,38,38,0.427,518,1463,0.354,0.365,-0.011
9,1610612739,Cleveland Cavaliers,CLE,37,37,0.383,444,1240,0.358,0.367,-0.009
10,1610612746,LA Clippers,LAC,38,38,0.4,478,1340,0.357,0.364,-0.007
11,1610612738,Boston Celtics,BOS,39,39,0.413,537,1483,0.362,0.366,-0.004
12,1610612741,Chicago Bulls,CHI,41,41,0.448,582,1590,0.366,0.368,-0.002
13,1610612743,Denver Nuggets,DEN,39,39,0.359,445,1226,0.363,0.365,-0.002
14,1610612748,Miami Heat,MIA,38,38,0.423,504,1381,0.365,0.364,0.001
15,1610612742,Dallas Mavericks,DAL,40,40,0.401,532,1458,0.365,0.364,0.001
16,1610612752,New York Knicks,NYK,39,39,0.408,511,1386,0.369,0.368,0.001
17,1610612756,Phoenix Suns,PHX,38,38,0.391,486,1325,0.367,0.361,0.005
18,1610612754,Indiana Pacers,IND,38,38,0.319,415,1103,0.376,0.366,0.01
19,1610612762,Utah Jazz,UTA,41,41,0.409,578,1528,0.378,0.365,0.013
20,1610612764,Washington Wizards,WAS,38,38,0.371,502,1322,0.38,0.366,0.014
21,1610612765,Detroit Pistons,DET,39,39,0.342,455,1195,0.381,0.367,0.014
22,1610612763,Memphis Grizzlies,MEM,39,39,0.406,532,1382,0.385,0.369,0.016
23,1610612747,Los Angeles Lakers,LAL,40,40,0.412,568,1488,0.382,0.366,0.016
24,1610612751,Brooklyn Nets,BKN,37,37,0.413,528,1379,0.383,0.367,0.016
25,1610612759,San Antonio Spurs,SAS,38,38,0.399,538,1391,0.387,0.369,0.018
26,1610612758,Sacramento Kings,SAC,38,38,0.385,499,1289,0.387,0.366,0.021
27,1610612761,Toronto Raptors,TOR,39,39,0.386,526,1357,0.388,0.365,0.022
28,1610612737,Atlanta Hawks,ATL,38,38,0.386,522,1341,0.389,0.367,0.023
29,1610612766,Charlotte Hornets,CHA,36,36,0.389,488,1232,0.396,0.369,0.027
