,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,E_PACE,E_DEF_RATING
37,2020-21,DAL,Dallas Mavericks,22000339,2/4/21,DAL vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
69,2020-21,DAL,Dallas Mavericks,22000330,2/3/21,DAL @ ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
9,2020-21,DAL,Dallas Mavericks,22000319,2/1/21,DAL vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
10,2020-21,DAL,Dallas Mavericks,22000303,1/30/21,DAL vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
51,2020-21,DAL,Dallas Mavericks,22000297,1/29/21,DAL @ UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
52,2020-21,DAL,Dallas Mavericks,22000282,1/27/21,DAL @ UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
64,2020-21,DAL,Dallas Mavericks,22000265,1/25/21,DAL vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
48,2020-21,DAL,Dallas Mavericks,22000247,1/23/21,DAL vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
44,2020-21,DAL,Dallas Mavericks,22000237,1/22/21,DAL @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
59,2020-21,DAL,Dallas Mavericks,22000217,1/20/21,DAL @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
15,2020-21,DAL,Dallas Mavericks,22000210,1/18/21,DAL @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
70,2020-21,DAL,Dallas Mavericks,22000198,1/17/21,DAL vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
46,2020-21,DAL,Dallas Mavericks,22000182,1/15/21,DAL @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
1,2020-21,DAL,Dallas Mavericks,22000164,1/13/21,DAL @ CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
67,2020-21,DAL,Dallas Mavericks,22000139,1/9/21,DAL vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
65,2020-21,DAL,Dallas Mavericks,22000120,1/7/21,DAL @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
49,2020-21,DAL,Dallas Mavericks,22000098,1/4/21,DAL @ HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
71,2020-21,DAL,Dallas Mavericks,22000090,1/3/21,DAL @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
27,2020-21,DAL,Dallas Mavericks,22000071,1/1/21,DAL vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
0,2020-21,DAL,Dallas Mavericks,22000059,12/30/20,DAL vs. CHA,1610612766,41.6,88.2,0.472,0.464,0.008,Charlotte Hornets,35,35,0.413,22.2,36.43,0.609,0.572,26.4,47.83,0.552,0.528,15.2,40.37,0.377,0.365,100.6,110.6
2,2020-21,DAL,Dallas Mavericks,22000031,12/27/20,DAL @ LAC,1610612746,40.89,87.47,0.468,0.466,0.001,LA Clippers,38,38,0.417,20.71,36.45,0.568,0.578,29.18,55.08,0.53,0.532,11.71,32.39,0.361,0.366,99.1,108.7
5,2020-21,DAL,Dallas Mavericks,22000008,12/25/20,DAL @ LAL,1610612747,40.03,88.32,0.453,0.464,-0.011,Los Angeles Lakers,37,37,0.442,22.03,39,0.565,0.574,28.35,55.68,0.509,0.529,11.68,32.65,0.358,0.363,100.8,104.8
8,2020-21,DAL,Dallas Mavericks,22000004,12/23/20,DAL @ PHX,1610612756,39.6,86.51,0.458,0.467,-0.009,Phoenix Suns,35,35,0.431,21.77,37.31,0.583,0.58,28.54,54.31,0.526,0.533,11.06,32.2,0.343,0.364,99.3,108.8
9,2020-21,DEN,Denver Nuggets,22001076,5/16/21,DEN @ POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
12,2020-21,DEN,Denver Nuggets,22001054,5/14/21,DEN @ DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,36,36,0.477,24.22,41.92,0.578,0.571,30.78,57.08,0.539,0.527,10.72,30.78,0.348,0.366,100.1,110.3
14,2020-21,DEN,Denver Nuggets,22001052,5/13/21,DEN @ MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
17,2020-21,DEN,Denver Nuggets,22000448,5/11/21,DEN @ CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
19,2020-21,DEN,Denver Nuggets,22001015,5/8/21,DEN vs. BKN,1610612751,40.26,89.43,0.45,0.464,-0.013,Brooklyn Nets,35,35,0.403,20.4,36,0.567,0.575,26.69,52,0.513,0.528,13.57,37.43,0.363,0.365,101.8,110.6
21,2020-21,DEN,Denver Nuggets,22001008,5/7/21,DEN @ UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
24,2020-21,DEN,Denver Nuggets,22000995,5/5/21,DEN vs. NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
26,2020-21,DEN,Denver Nuggets,22000982,5/3/21,DEN @ LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
7,2020-21,DEN,Denver Nuggets,22000966,5/1/21,DEN @ LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
29,2020-21,DEN,Denver Nuggets,22000948,4/29/21,DEN vs. TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
31,2020-21,DEN,Denver Nuggets,22000940,4/28/21,DEN vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
34,2020-21,DEN,Denver Nuggets,22000925,4/26/21,DEN vs. MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
4,2020-21,DEN,Denver Nuggets,22000910,4/24/21,DEN vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
37,2020-21,DEN,Denver Nuggets,22000903,4/23/21,DEN @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
10,2020-21,DEN,Denver Nuggets,22000890,4/21/21,DEN @ POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
35,2020-21,DEN,Denver Nuggets,22000874,4/19/21,DEN vs. MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
5,2020-21,DEN,Denver Nuggets,22000851,4/16/21,DEN @ HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
40,2020-21,DEN,Denver Nuggets,22000838,4/14/21,DEN vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
38,2020-21,DEN,Denver Nuggets,22000821,4/12/21,DEN @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
42,2020-21,DEN,Denver Nuggets,22000806,4/11/21,DEN vs. BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
44,2020-21,DEN,Denver Nuggets,22000797,4/9/21,DEN vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
45,2020-21,DEN,Denver Nuggets,22000782,4/7/21,DEN vs. SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
13,2020-21,DEN,Denver Nuggets,22000321,4/6/21,DEN vs. DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,36,36,0.477,24.22,41.92,0.578,0.571,30.78,57.08,0.539,0.527,10.72,30.78,0.348,0.366,100.1,110.3
47,2020-21,DEN,Denver Nuggets,22000761,4/4/21,DEN vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
8,2020-21,DEN,Denver Nuggets,22000736,4/1/21,DEN @ LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
49,2020-21,DEN,Denver Nuggets,22000719,3/30/21,DEN vs. PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
51,2020-21,DEN,Denver Nuggets,22000705,3/28/21,DEN vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
32,2020-21,DEN,Denver Nuggets,22000689,3/26/21,DEN @ NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
30,2020-21,DEN,Denver Nuggets,22000668,3/24/21,DEN @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
48,2020-21,DEN,Denver Nuggets,22000661,3/23/21,DEN @ ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
33,2020-21,DEN,Denver Nuggets,22000646,3/21/21,DEN vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
53,2020-21,DEN,Denver Nuggets,22000637,3/19/21,DEN vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
18,2020-21,DEN,Denver Nuggets,22000624,3/17/21,DEN vs. CHA,1610612766,40.97,88.08,0.465,0.466,-0.001,Charlotte Hornets,37,37,0.421,22.14,37.08,0.597,0.578,27.19,49.32,0.551,0.529,13.78,38.76,0.356,0.366,100.6,110.6
55,2020-21,DEN,Denver Nuggets,22000606,3/15/21,DEN vs. IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
57,2020-21,DEN,Denver Nuggets,22000592,3/13/21,DEN vs. DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
36,2020-21,DEN,Denver Nuggets,22000580,3/12/21,DEN @ MEM,1610612763,41.55,91.2,0.456,0.464,-0.009,Memphis Grizzlies,40,40,0.436,21.78,39.8,0.547,0.575,28.85,55.95,0.516,0.529,12.7,35.25,0.36,0.369,102.6,108.5
56,2020-21,DEN,Denver Nuggets,22000553,3/4/21,DEN @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
60,2020-21,DEN,Denver Nuggets,22000540,3/2/21,DEN @ MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
54,2020-21,DEN,Denver Nuggets,22000531,3/1/21,DEN @ CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
62,2020-21,DEN,Denver Nuggets,22000518,2/27/21,DEN @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
65,2020-21,DEN,Denver Nuggets,22000502,2/25/21,DEN vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
11,2020-21,DEN,Denver Nuggets,22000487,2/23/21,DEN vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
52,2020-21,DEN,Denver Nuggets,22000470,2/21/21,DEN @ ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,36,36,0.421,21.75,37.67,0.577,0.576,29.5,55.11,0.535,0.53,12.03,34.31,0.351,0.363,99.9,110.6
67,2020-21,DEN,Denver Nuggets,22000563,2/19/21,DEN @ CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
66,2020-21,DEN,Denver Nuggets,22000437,2/17/21,DEN @ WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
43,2020-21,DEN,Denver Nuggets,22000427,2/16/21,DEN @ BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
27,2020-21,DEN,Denver Nuggets,22000416,2/14/21,DEN vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
63,2020-21,DEN,Denver Nuggets,22000401,2/12/21,DEN vs. OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
68,2020-21,DEN,Denver Nuggets,22000388,2/10/21,DEN vs. CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
61,2020-21,DEN,Denver Nuggets,22000373,2/8/21,DEN vs. MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,36,36,0.364,18.64,34.14,0.546,0.574,27.36,54.39,0.503,0.528,15.56,39.42,0.395,0.366,104.4,109.1
2,2020-21,DEN,Denver Nuggets,22000352,2/6/21,DEN @ SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,36,36,0.473,24.81,41.92,0.592,0.572,31.36,56.75,0.553,0.528,11.33,31.81,0.356,0.36,102.2,114.6
28,2020-21,DEN,Denver Nuggets,22000341,2/4/21,DEN @ LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
22,2020-21,DEN,Denver Nuggets,22000306,1/31/21,DEN vs. UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
46,2020-21,DEN,Denver Nuggets,22000296,1/29/21,DEN @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
41,2020-21,DEN,Denver Nuggets,22000275,1/27/21,DEN @ MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
58,2020-21,DEN,Denver Nuggets,22000265,1/25/21,DEN @ DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
69,2020-21,DEN,Denver Nuggets,22000248,1/23/21,DEN @ PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
70,2020-21,DEN,Denver Nuggets,22000238,1/22/21,DEN @ PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
64,2020-21,DEN,Denver Nuggets,22000213,1/19/21,DEN vs. OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
23,2020-21,DEN,Denver Nuggets,22000200,1/17/21,DEN vs. UTA,1610612762,40.81,91.64,0.445,0.463,-0.018,Utah Jazz,36,36,0.423,21.22,38.75,0.548,0.575,29.92,58.64,0.51,0.529,10.89,33,0.33,0.36,100.8,105.7
39,2020-21,DEN,Denver Nuggets,22000177,1/14/21,DEN vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
20,2020-21,DEN,Denver Nuggets,22000158,1/12/21,DEN @ BKN,1610612751,40.26,89.43,0.45,0.464,-0.013,Brooklyn Nets,35,35,0.403,20.4,36,0.567,0.575,26.69,52,0.513,0.528,13.57,37.43,0.363,0.365,101.8,110.6
25,2020-21,DEN,Denver Nuggets,22000144,1/10/21,DEN @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
50,2020-21,DEN,Denver Nuggets,22000133,1/9/21,DEN @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
59,2020-21,DEN,Denver Nuggets,22000120,1/7/21,DEN vs. DAL,1610612742,39.63,86.58,0.458,0.465,-0.007,Dallas Mavericks,38,38,0.422,20.53,36.53,0.562,0.574,27.34,52.61,0.52,0.528,12.29,33.97,0.362,0.364,99.5,110.4
15,2020-21,DEN,Denver Nuggets,22000104,1/5/21,DEN vs. MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
16,2020-21,DEN,Denver Nuggets,22000088,1/3/21,DEN @ MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
71,2020-21,DEN,Denver Nuggets,22000076,1/1/21,DEN vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
0,2020-21,DEN,Denver Nuggets,22000055,12/29/20,DEN @ SAC,1610612758,44.5,90.28,0.493,0.467,0.026,Sacramento Kings,36,36,0.436,23.89,39.36,0.607,0.579,31.03,56.83,0.546,0.529,13.47,33.44,0.403,0.372,102.2,114.6
3,2020-21,DEN,Denver Nuggets,22000044,12/28/20,DEN vs. HOU,1610612745,41.09,88.24,0.466,0.465,0.001,Houston Rockets,34,34,0.443,21.97,39.06,0.563,0.573,28.88,55.26,0.523,0.527,12.21,32.97,0.37,0.361,103.6,112.4
6,2020-21,DEN,Denver Nuggets,22000009,12/25/20,DEN vs. LAC,1610612746,40.89,87.47,0.468,0.466,0.001,LA Clippers,38,38,0.417,20.71,36.45,0.568,0.578,29.18,55.08,0.53,0.532,11.71,32.39,0.361,0.366,99.1,108.7
1,2020-21,DEN,Denver Nuggets,22000019,12/23/20,DEN vs. SAC,1610612758,44.5,90.28,0.493,0.467,0.026,Sacramento Kings,36,36,0.436,23.89,39.36,0.607,0.579,31.03,56.83,0.546,0.529,13.47,33.44,0.403,0.372,102.2,114.6
10,2020-21,DET,Detroit Pistons,22001069,5/16/21,DET vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
13,2020-21,DET,Detroit Pistons,22001054,5/14/21,DET vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
9,2020-21,DET,Detroit Pistons,22001033,5/11/21,DET vs. MIN,1610612750,43.22,89,0.486,0.468,0.018,Minnesota Timberwolves,36,36,0.433,21.97,38.5,0.571,0.582,28.61,52.72,0.543,0.535,14.61,36.28,0.403,0.368,104.1,112.1
15,2020-21,DET,Detroit Pistons,22001023,5/9/21,DET vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
