,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,E_PACE,E_DEF_RATING
59,2020-21,ATL,Atlanta Hawks,22000770,4/6/21,ATL vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
61,2020-21,ATL,Atlanta Hawks,22000759,4/4/21,ATL vs. GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
60,2020-21,ATL,Atlanta Hawks,22000742,4/2/21,ATL @ NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,36,36,0.401,21.25,36.22,0.587,0.573,28.33,53.69,0.528,0.525,13.42,36.69,0.366,0.368,102.3,111.6
4,2020-21,ATL,Atlanta Hawks,22000735,4/1/21,ATL @ SAS,1610612759,42.98,89.83,0.478,0.469,0.009,San Antonio Spurs,40,40,0.463,24.03,41.6,0.578,0.58,31.3,58.35,0.536,0.533,11.68,31.48,0.371,0.37,101,110.7
55,2020-21,ATL,Atlanta Hawks,22000171,3/30/21,ATL @ PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
63,2020-21,ATL,Atlanta Hawks,22000705,3/28/21,ATL @ DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
62,2020-21,ATL,Atlanta Hawks,22000692,3/26/21,ATL @ GSW,1610612744,40.77,88.34,0.462,0.466,-0.005,Golden State Warriors,35,35,0.449,22.4,39.69,0.564,0.577,29.26,55.06,0.531,0.533,11.51,33.29,0.346,0.362,104.4,107.7
65,2020-21,ATL,Atlanta Hawks,22000677,3/24/21,ATL @ SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,36,36,0.473,24.81,41.92,0.592,0.572,31.36,56.75,0.553,0.528,11.33,31.81,0.356,0.36,102.2,114.6
21,2020-21,ATL,Atlanta Hawks,22000660,3/22/21,ATL @ LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,34,34,0.41,19.85,34.97,0.568,0.572,27.79,52.62,0.528,0.526,11.41,32.65,0.35,0.363,99.1,108.7
13,2020-21,ATL,Atlanta Hawks,22000640,3/20/21,ATL @ LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,35,35,0.422,21.09,35.6,0.592,0.575,28.43,52.57,0.541,0.53,11.03,31.8,0.347,0.37,100.8,104.8
67,2020-21,ATL,Atlanta Hawks,22000626,3/18/21,ATL vs. OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
50,2020-21,ATL,Atlanta Hawks,22000613,3/16/21,ATL @ HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
42,2020-21,ATL,Atlanta Hawks,22000597,3/14/21,ATL vs. CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
66,2020-21,ATL,Atlanta Hawks,22000590,3/13/21,ATL vs. SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,36,36,0.473,24.81,41.92,0.592,0.572,31.36,56.75,0.553,0.528,11.33,31.81,0.356,0.36,102.2,114.6
9,2020-21,ATL,Atlanta Hawks,22000570,3/11/21,ATL @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,36,36,0.422,20.97,35.89,0.584,0.574,25.72,49.14,0.523,0.527,13.69,35.94,0.381,0.366,101.6,109.8
53,2020-21,ATL,Atlanta Hawks,22000544,3/3/21,ATL @ ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
57,2020-21,ATL,Atlanta Hawks,22000538,3/2/21,ATL @ MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
58,2020-21,ATL,Atlanta Hawks,22000522,2/28/21,ATL @ MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,36,36,0.405,20.17,33.89,0.595,0.571,25.75,46.44,0.554,0.526,13.69,37.22,0.368,0.363,98.7,108.5
68,2020-21,ATL,Atlanta Hawks,22000510,2/26/21,ATL @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,36,36,0.411,22.64,37.75,0.6,0.576,30.14,54.03,0.558,0.532,14.42,37.92,0.38,0.368,103.1,111.9
69,2020-21,ATL,Atlanta Hawks,22000490,2/24/21,ATL vs. BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
43,2020-21,ATL,Atlanta Hawks,22000480,2/23/21,ATL @ CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,36,36,0.469,24.44,40.94,0.597,0.578,30.67,55.06,0.557,0.532,11.83,32.25,0.367,0.365,99.6,112.1
64,2020-21,ATL,Atlanta Hawks,22000470,2/21/21,ATL vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,36,36,0.417,20.86,35.33,0.59,0.57,26.5,49.19,0.539,0.524,13.25,35.58,0.372,0.365,99.3,110
70,2020-21,ATL,Atlanta Hawks,22000451,2/19/21,ATL @ BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
71,2020-21,ATL,Atlanta Hawks,22000438,2/17/21,ATL @ BOS,1610612738,39.89,86.61,0.461,0.462,-0.002,Boston Celtics,36,36,0.416,19.5,36.03,0.541,0.572,26.44,51.72,0.511,0.526,13.44,34.89,0.385,0.364,100.7,110
40,2020-21,ATL,Atlanta Hawks,22000422,2/15/21,ATL @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,35,35,0.433,21.06,37.57,0.56,0.58,26.83,52.69,0.509,0.533,11.77,34.17,0.344,0.364,98.2,105.7
0,2020-21,ATL,Atlanta Hawks,22000407,2/13/21,ATL vs. IND,1610612754,41.31,88.03,0.469,0.464,0.005,Indiana Pacers,35,35,0.461,22.83,40.57,0.563,0.572,29.17,56.14,0.52,0.526,12.14,31.89,0.381,0.369,104,109.6
3,2020-21,ATL,Atlanta Hawks,22000397,2/12/21,ATL vs. SAS,1610612759,41.75,89.84,0.465,0.461,0.003,San Antonio Spurs,32,32,0.452,22.5,40.59,0.554,0.575,28.69,55.75,0.515,0.528,13.06,34.09,0.383,0.362,101,110.7
5,2020-21,ATL,Atlanta Hawks,22000384,2/10/21,ATL @ DAL,1610612742,40.56,87.62,0.463,0.466,-0.003,Dallas Mavericks,34,34,0.396,20.15,34.71,0.581,0.577,27.09,50.97,0.531,0.531,13.47,36.65,0.368,0.367,99.5,110.4
7,2020-21,ATL,Atlanta Hawks,22000356,2/6/21,ATL vs. TOR,1610612761,38.61,84.33,0.458,0.466,-0.008,Toronto Raptors,36,36,0.405,19.36,34.14,0.567,0.576,24.5,46.92,0.522,0.53,14.11,37.42,0.377,0.364,101.6,109.8
10,2020-21,ATL,Atlanta Hawks,22000338,2/4/21,ATL vs. UTA,1610612762,40.94,91.14,0.449,0.467,-0.017,Utah Jazz,36,36,0.44,21.83,40.06,0.545,0.576,30.08,60.47,0.497,0.529,10.86,30.67,0.354,0.368,100.8,105.7
