,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612738,37.83,88.22,0.429,0.46,-0.031
1,1610612744,37.51,86.63,0.433,0.46,-0.027
2,1610612756,39.1,88.86,0.44,0.46,-0.02
3,1610612739,38.64,87.45,0.442,0.461,-0.019
4,1610612748,37.02,83.73,0.442,0.46,-0.018
5,1610612760,40.21,90.1,0.446,0.462,-0.016
6,1610612752,38.59,86.83,0.444,0.461,-0.016
7,1610612746,40.57,90.74,0.447,0.461,-0.014
8,1610612751,40.68,90.54,0.449,0.46,-0.011
9,1610612749,40.42,90.18,0.448,0.458,-0.01
10,1610612762,40.53,90,0.45,0.46,-0.01
11,1610612755,39.26,87,0.451,0.46,-0.009
12,1610612763,39.87,88.13,0.452,0.461,-0.008
13,1610612750,39.64,86.97,0.456,0.461,-0.005
14,1610612742,38.73,85.19,0.455,0.46,-0.005
15,1610612753,40.85,88.67,0.461,0.463,-0.002
16,1610612747,41.26,90.48,0.456,0.458,-0.002
17,1610612764,40.59,88.74,0.457,0.46,-0.002
18,1610612761,38.72,84.09,0.46,0.461,0
19,1610612766,41.73,90.49,0.461,0.46,0.001
20,1610612759,42.42,91.47,0.464,0.461,0.003
21,1610612740,39.98,85.83,0.466,0.46,0.006
22,1610612737,41.55,89.12,0.466,0.461,0.006
23,1610612743,40.33,86.6,0.466,0.459,0.007
24,1610612741,41.03,87.92,0.467,0.458,0.009
25,1610612757,40.69,86.2,0.472,0.462,0.01
26,1610612754,41.23,87.23,0.473,0.461,0.011
27,1610612765,40.9,85.95,0.476,0.462,0.014
28,1610612758,43.29,91.05,0.475,0.46,0.016
29,1610612745,43.31,89.62,0.483,0.461,0.023
