,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612763,40.49,90.09,0.449,0.474,-0.025
1,1610612749,41.78,92.26,0.453,0.474,-0.021
2,1610612752,40.37,88.68,0.455,0.474,-0.019
3,1610612751,40.29,88.03,0.458,0.473,-0.015
4,1610612764,41.81,90.05,0.464,0.474,-0.01
5,1610612756,40.05,85.7,0.467,0.475,-0.008
6,1610612739,38.87,83.52,0.465,0.473,-0.008
7,1610612738,42.03,90.14,0.466,0.473,-0.007
8,1610612760,41.7,88.77,0.47,0.476,-0.006
9,1610612746,40.95,87.15,0.47,0.474,-0.004
10,1610612741,41.25,87.88,0.469,0.473,-0.004
11,1610612747,44.37,93.98,0.472,0.476,-0.003
12,1610612750,41.7,88.66,0.47,0.473,-0.003
13,1610612755,40.28,85.37,0.472,0.473,-0.001
14,1610612753,41.34,87.05,0.475,0.474,0.0
15,1610612744,42.76,90.14,0.474,0.474,0.0
16,1610612740,41.46,87.37,0.474,0.475,0.0
17,1610612754,42.03,88.18,0.477,0.476,0.001
18,1610612745,42.19,88.5,0.477,0.475,0.001
19,1610612748,39.46,82.71,0.477,0.474,0.003
20,1610612762,43.4,90.57,0.479,0.476,0.003
21,1610612766,43.28,90.15,0.48,0.476,0.004
22,1610612737,43.0,90.02,0.478,0.472,0.006
23,1610612743,41.54,86.61,0.48,0.474,0.006
24,1610612742,41.02,84.68,0.484,0.475,0.009
25,1610612757,42.07,86.97,0.484,0.475,0.009
26,1610612761,40.59,82.76,0.49,0.474,0.017
27,1610612765,43.71,88.68,0.493,0.475,0.018
28,1610612758,43.81,88.86,0.493,0.472,0.021
29,1610612759,46.0,90.41,0.509,0.475,0.034
