,TEAM_ID,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612744,28.46,55.42,0.514,0.546,-0.033
1,1610612749,30.83,59.83,0.515,0.545,-0.03
2,1610612750,31.33,60.14,0.521,0.549,-0.028
3,1610612756,28.27,53.41,0.529,0.551,-0.022
4,1610612762,28.64,54.14,0.529,0.545,-0.016
5,1610612739,28.29,53.57,0.528,0.543,-0.015
6,1610612751,31.21,58.17,0.537,0.549,-0.013
7,1610612763,28.32,52.4,0.54,0.548,-0.008
8,1610612738,29.3,54.26,0.54,0.548,-0.008
9,1610612747,30.7,56.87,0.54,0.545,-0.005
10,1610612741,25.43,46.96,0.542,0.546,-0.004
11,1610612752,28.36,51.73,0.548,0.549,-0.001
12,1610612746,32.24,58.86,0.548,0.549,-0.001
13,1610612766,31.77,58.45,0.544,0.543,0.001
14,1610612755,28.12,50.4,0.558,0.551,0.007
15,1610612765,29.91,54.22,0.552,0.544,0.008
16,1610612761,28.26,50.83,0.556,0.548,0.008
17,1610612743,31.43,56.61,0.555,0.543,0.012
18,1610612764,31.38,56.5,0.555,0.542,0.013
19,1610612753,28.04,50.22,0.558,0.545,0.014
20,1610612740,27.43,48.74,0.563,0.548,0.015
21,1610612758,29.68,52.48,0.566,0.549,0.016
22,1610612759,33.17,58,0.572,0.552,0.019
23,1610612742,32.27,57.41,0.562,0.543,0.019
24,1610612737,33.48,57.74,0.58,0.553,0.027
25,1610612745,28.21,48.79,0.578,0.548,0.03
26,1610612757,31.25,54.08,0.578,0.548,0.03
27,1610612760,28.96,50.2,0.577,0.544,0.033
28,1610612754,34.59,59.77,0.579,0.543,0.036
29,1610612748,28.52,48.48,0.588,0.545,0.043
