,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612748,Miami Heat,MIA,23,23,0.439,280,854,0.328,0.355,-0.027
1,1610612765,Detroit Pistons,DET,24,24,0.364,248,752,0.33,0.355,-0.026
2,1610612752,New York Knicks,NYK,23,23,0.418,267,805,0.332,0.356,-0.025
3,1610612738,Boston Celtics,BOS,22,22,0.393,257,757,0.339,0.352,-0.013
4,1610612763,Memphis Grizzlies,MEM,22,22,0.362,243,716,0.339,0.352,-0.012
5,1610612745,Houston Rockets,HOU,24,24,0.371,281,808,0.348,0.353,-0.006
6,1610612742,Dallas Mavericks,DAL,23,23,0.39,270,769,0.351,0.355,-0.004
7,1610612744,Golden State Warriors,GSW,23,23,0.411,287,816,0.352,0.354,-0.002
8,1610612761,Toronto Raptors,TOR,25,25,0.408,308,867,0.355,0.356,0.0
9,1610612750,Minnesota Timberwolves,MIN,23,23,0.425,307,863,0.356,0.351,0.004
10,1610612756,Phoenix Suns,PHX,24,24,0.388,289,811,0.356,0.35,0.006
11,1610612755,Philadelphia 76ers,PHI,24,24,0.372,276,763,0.362,0.353,0.009
12,1610612753,Orlando Magic,ORL,22,22,0.432,305,851,0.358,0.349,0.009
13,1610612740,New Orleans Pelicans,NOP,23,23,0.425,304,826,0.368,0.355,0.013
14,1610612743,Denver Nuggets,DEN,24,24,0.376,295,807,0.366,0.351,0.014
15,1610612746,LA Clippers,LAC,21,21,0.363,252,689,0.366,0.352,0.014
16,1610612741,Chicago Bulls,CHI,23,23,0.364,270,721,0.374,0.358,0.016
17,1610612762,Utah Jazz,UTA,24,24,0.401,312,842,0.371,0.354,0.017
18,1610612757,Portland Trail Blazers,POR,23,23,0.446,322,874,0.368,0.35,0.018
19,1610612747,Los Angeles Lakers,LAL,24,24,0.373,302,812,0.372,0.353,0.019
20,1610612737,Atlanta Hawks,ATL,24,24,0.367,288,780,0.369,0.35,0.019
21,1610612751,Brooklyn Nets,BKN,23,23,0.409,315,840,0.375,0.355,0.02
22,1610612764,Washington Wizards,WAS,24,24,0.381,310,816,0.38,0.355,0.025
23,1610612759,San Antonio Spurs,SAS,23,23,0.391,305,813,0.375,0.351,0.025
24,1610612766,Charlotte Hornets,CHA,22,22,0.414,308,813,0.379,0.352,0.027
25,1610612760,Oklahoma City Thunder,OKC,24,24,0.436,364,957,0.38,0.354,0.027
26,1610612739,Cleveland Cavaliers,CLE,24,24,0.375,300,779,0.385,0.354,0.031
27,1610612749,Milwaukee Bucks,MIL,22,22,0.431,341,870,0.392,0.357,0.035
28,1610612758,Sacramento Kings,SAC,22,22,0.414,323,813,0.397,0.354,0.044
29,1610612754,Indiana Pacers,IND,22,22,0.386,303,763,0.397,0.35,0.048
