,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612746,LA Clippers,LAC,21,21,0.637,616,1207,0.51,0.536,-0.026
1,1610612744,Golden State Warriors,GSW,23,23,0.589,611,1171,0.522,0.538,-0.016
2,1610612756,Phoenix Suns,PHX,24,24,0.612,659,1278,0.516,0.53,-0.014
3,1610612762,Utah Jazz,UTA,24,24,0.599,651,1257,0.518,0.531,-0.013
4,1610612751,Brooklyn Nets,BKN,23,23,0.591,625,1213,0.515,0.526,-0.011
5,1610612738,Boston Celtics,BOS,22,22,0.607,610,1171,0.521,0.532,-0.011
6,1610612763,Memphis Grizzlies,MEM,22,22,0.638,669,1264,0.529,0.536,-0.006
7,1610612742,Dallas Mavericks,DAL,23,23,0.61,643,1205,0.534,0.539,-0.005
8,1610612753,Orlando Magic,ORL,22,22,0.568,587,1119,0.525,0.529,-0.004
9,1610612759,San Antonio Spurs,SAS,23,23,0.609,673,1264,0.532,0.534,-0.002
10,1610612739,Cleveland Cavaliers,CLE,24,24,0.625,695,1301,0.534,0.527,0.007
11,1610612749,Milwaukee Bucks,MIL,22,22,0.569,625,1150,0.543,0.534,0.009
12,1610612761,Toronto Raptors,TOR,25,25,0.592,682,1258,0.542,0.533,0.009
13,1610612765,Detroit Pistons,DET,24,24,0.636,713,1312,0.543,0.53,0.014
14,1610612752,New York Knicks,NYK,23,23,0.582,609,1121,0.543,0.53,0.014
15,1610612764,Washington Wizards,WAS,24,24,0.619,720,1323,0.544,0.53,0.014
16,1610612755,Philadelphia 76ers,PHI,24,24,0.628,700,1288,0.543,0.528,0.015
17,1610612743,Denver Nuggets,DEN,24,24,0.624,733,1338,0.548,0.532,0.016
18,1610612766,Charlotte Hornets,CHA,22,22,0.586,626,1149,0.545,0.529,0.016
19,1610612758,Sacramento Kings,SAC,22,22,0.586,641,1151,0.557,0.538,0.019
20,1610612737,Atlanta Hawks,ATL,24,24,0.633,737,1345,0.548,0.526,0.022
21,1610612750,Minnesota Timberwolves,MIN,23,23,0.575,652,1169,0.558,0.531,0.026
22,1610612741,Chicago Bulls,CHI,23,23,0.636,706,1260,0.56,0.53,0.03
23,1610612745,Houston Rockets,HOU,24,24,0.629,769,1367,0.563,0.531,0.032
24,1610612748,Miami Heat,MIA,23,23,0.561,614,1091,0.563,0.53,0.033
25,1610612760,Oklahoma City Thunder,OKC,24,24,0.564,702,1238,0.567,0.534,0.033
26,1610612740,New Orleans Pelicans,NOP,23,23,0.575,638,1119,0.57,0.536,0.035
27,1610612747,Los Angeles Lakers,LAL,24,24,0.627,796,1364,0.584,0.537,0.047
28,1610612754,Indiana Pacers,IND,22,22,0.614,706,1212,0.583,0.524,0.058
29,1610612757,Portland Trail Blazers,POR,23,23,0.554,650,1085,0.599,0.535,0.064
