,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612756,11.45,34.38,0.333,0.353,-0.02
1,1610612751,12.05,36.17,0.333,0.352,-0.019
2,1610612744,12.08,36.14,0.334,0.352,-0.018
3,1610612738,11.87,35.05,0.339,0.354,-0.016
4,1610612742,10.59,31.63,0.335,0.351,-0.016
5,1610612743,11.66,34.47,0.338,0.354,-0.016
6,1610612746,11.57,34.28,0.338,0.352,-0.015
7,1610612760,13,38.17,0.341,0.354,-0.014
8,1610612739,11.38,33.48,0.34,0.354,-0.014
9,1610612755,11.29,33.26,0.34,0.353,-0.013
10,1610612762,11.76,34.4,0.342,0.351,-0.01
11,1610612748,13.29,38.71,0.343,0.352,-0.009
12,1610612747,12.59,36.6,0.344,0.353,-0.009
13,1610612749,14.08,40.97,0.344,0.351,-0.008
14,1610612752,13.07,37.75,0.346,0.353,-0.007
15,1610612750,12.95,37.27,0.347,0.353,-0.005
16,1610612763,12.4,35.2,0.352,0.353,-0.001
17,1610612764,10.88,30.86,0.353,0.354,-0.001
18,1610612766,13.86,39.2,0.354,0.354,0
19,1610612759,11.64,32.93,0.354,0.353,0.001
20,1610612761,12.39,34.98,0.354,0.354,0.001
21,1610612745,13.22,37.19,0.356,0.352,0.004
22,1610612754,11.37,31.37,0.362,0.356,0.007
23,1610612737,13.16,36.34,0.362,0.353,0.008
24,1610612753,12.95,35.45,0.365,0.357,0.009
25,1610612758,12.39,34.17,0.363,0.353,0.01
26,1610612740,12.88,35.37,0.364,0.354,0.01
27,1610612741,11.69,32.17,0.364,0.351,0.012
28,1610612757,13.68,36.81,0.372,0.354,0.017
29,1610612765,12.38,33.02,0.375,0.354,0.021
