,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612738,Boston Celtics,BOS,60,60,1.0,2270,5293,0.429,0.46,-0.031
1,1610612744,Golden State Warriors,GSW,59,59,1.0,2213,5111,0.433,0.46,-0.027
2,1610612756,Phoenix Suns,PHX,58,58,1.0,2268,5154,0.44,0.46,-0.02
3,1610612739,Cleveland Cavaliers,CLE,58,58,1.0,2241,5072,0.442,0.461,-0.019
4,1610612748,Miami Heat,MIA,59,59,1.0,2184,4940,0.442,0.46,-0.018
5,1610612760,Oklahoma City Thunder,OKC,58,58,1.0,2332,5226,0.446,0.462,-0.016
6,1610612752,New York Knicks,NYK,59,59,1.0,2277,5123,0.444,0.461,-0.016
7,1610612746,LA Clippers,LAC,61,61,1.0,2475,5535,0.447,0.461,-0.014
8,1610612751,Brooklyn Nets,BKN,59,59,1.0,2400,5342,0.449,0.46,-0.011
9,1610612749,Milwaukee Bucks,MIL,60,60,1.0,2425,5411,0.448,0.458,-0.01
10,1610612762,Utah Jazz,UTA,58,58,1.0,2351,5219,0.45,0.46,-0.01
11,1610612755,Philadelphia 76ers,PHI,58,58,1.0,2277,5046,0.451,0.46,-0.009
12,1610612763,Memphis Grizzlies,MEM,60,60,1.0,2392,5288,0.452,0.461,-0.008
13,1610612750,Minnesota Timberwolves,MIN,59,59,1.0,2339,5131,0.456,0.461,-0.005
14,1610612742,Dallas Mavericks,DAL,59,59,1.0,2285,5027,0.455,0.46,-0.005
15,1610612753,Orlando Magic,ORL,60,60,1.0,2451,5325,0.46,0.463,-0.003
16,1610612747,Los Angeles Lakers,LAL,58,58,1.0,2393,5248,0.456,0.458,-0.002
17,1610612764,Washington Wizards,WAS,58,58,1.0,2354,5147,0.457,0.46,-0.002
18,1610612761,Toronto Raptors,TOR,57,57,1.0,2207,4794,0.46,0.461,-0.001
19,1610612766,Charlotte Hornets,CHA,60,60,1.0,2497,5400,0.462,0.46,0.002
20,1610612759,San Antonio Spurs,SAS,59,59,1.0,2503,5397,0.464,0.461,0.003
21,1610612740,New Orleans Pelicans,NOP,59,59,1.0,2359,5064,0.466,0.46,0.006
22,1610612737,Atlanta Hawks,ATL,58,58,1.0,2410,5169,0.466,0.461,0.006
23,1610612743,Denver Nuggets,DEN,58,58,1.0,2338,5021,0.466,0.459,0.007
24,1610612741,Chicago Bulls,CHI,59,59,1.0,2421,5187,0.467,0.458,0.009
25,1610612757,Portland Trail Blazers,POR,59,59,1.0,2401,5086,0.472,0.462,0.01
26,1610612754,Indiana Pacers,IND,60,60,1.0,2476,5237,0.473,0.461,0.011
27,1610612765,Detroit Pistons,DET,58,58,1.0,2372,4986,0.476,0.462,0.013
28,1610612758,Sacramento Kings,SAC,60,60,1.0,2585,5434,0.476,0.46,0.016
29,1610612745,Houston Rockets,HOU,58,58,1.0,2512,5198,0.483,0.461,0.023
