,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612756,Phoenix Suns,PHX,58,58,0.387,664,1994,0.333,0.353,-0.02
1,1610612751,Brooklyn Nets,BKN,59,59,0.399,711,2134,0.333,0.352,-0.019
2,1610612744,Golden State Warriors,GSW,59,59,0.417,713,2132,0.334,0.352,-0.018
3,1610612742,Dallas Mavericks,DAL,59,59,0.371,625,1866,0.335,0.351,-0.016
4,1610612743,Denver Nuggets,DEN,58,58,0.398,676,1999,0.338,0.354,-0.016
5,1610612738,Boston Celtics,BOS,60,60,0.397,712,2103,0.339,0.354,-0.016
6,1610612746,LA Clippers,LAC,61,61,0.378,706,2091,0.338,0.353,-0.015
7,1610612739,Cleveland Cavaliers,CLE,58,58,0.383,660,1942,0.34,0.354,-0.014
8,1610612760,Oklahoma City Thunder,OKC,58,58,0.424,754,2214,0.341,0.354,-0.014
9,1610612755,Philadelphia 76ers,PHI,58,58,0.382,655,1929,0.34,0.353,-0.013
10,1610612762,Utah Jazz,UTA,58,58,0.382,682,1995,0.342,0.352,-0.01
11,1610612748,Miami Heat,MIA,59,59,0.462,784,2284,0.343,0.352,-0.009
12,1610612747,Los Angeles Lakers,LAL,58,58,0.405,730,2123,0.344,0.353,-0.009
13,1610612749,Milwaukee Bucks,MIL,60,60,0.454,845,2458,0.344,0.351,-0.008
14,1610612752,New York Knicks,NYK,59,59,0.435,771,2227,0.346,0.353,-0.007
15,1610612750,Minnesota Timberwolves,MIN,59,59,0.429,764,2199,0.347,0.353,-0.005
16,1610612763,Memphis Grizzlies,MEM,60,60,0.399,744,2112,0.352,0.353,-0.001
17,1610612764,Washington Wizards,WAS,58,58,0.348,631,1790,0.353,0.354,-0.001
18,1610612759,San Antonio Spurs,SAS,59,59,0.36,687,1943,0.354,0.353,0.0
19,1610612761,Toronto Raptors,TOR,57,57,0.416,706,1994,0.354,0.354,0.0
20,1610612766,Charlotte Hornets,CHA,60,60,0.434,833,2341,0.356,0.354,0.002
21,1610612745,Houston Rockets,HOU,58,58,0.415,767,2157,0.356,0.352,0.004
22,1610612754,Indiana Pacers,IND,60,60,0.359,682,1882,0.362,0.356,0.007
23,1610612753,Orlando Magic,ORL,60,60,0.4,777,2128,0.365,0.357,0.008
24,1610612737,Atlanta Hawks,ATL,58,58,0.408,763,2108,0.362,0.354,0.008
25,1610612758,Sacramento Kings,SAC,60,60,0.376,742,2042,0.363,0.353,0.01
26,1610612740,New Orleans Pelicans,NOP,59,59,0.412,760,2087,0.364,0.354,0.01
27,1610612741,Chicago Bulls,CHI,59,59,0.366,690,1898,0.364,0.352,0.012
28,1610612757,Portland Trail Blazers,POR,59,59,0.427,807,2172,0.372,0.355,0.017
29,1610612765,Detroit Pistons,DET,58,58,0.384,718,1916,0.375,0.355,0.02
