,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612748,12.17,37.13,0.328,0.355,-0.027
1,1610612765,10.33,31.33,0.33,0.355,-0.026
2,1610612752,11.61,35,0.332,0.356,-0.024
3,1610612738,11.68,34.41,0.339,0.352,-0.013
4,1610612763,11.05,32.55,0.339,0.352,-0.012
5,1610612745,11.71,33.67,0.348,0.353,-0.006
6,1610612742,11.74,33.43,0.351,0.355,-0.004
7,1610612744,12.48,35.48,0.352,0.354,-0.002
8,1610612761,12.32,34.68,0.355,0.356,0
9,1610612750,13.35,37.52,0.356,0.351,0.004
10,1610612756,12.04,33.79,0.356,0.35,0.007
11,1610612755,11.5,31.79,0.362,0.353,0.009
12,1610612753,13.86,38.64,0.359,0.349,0.01
13,1610612740,13.22,35.91,0.368,0.355,0.013
14,1610612746,12,32.81,0.366,0.352,0.014
15,1610612743,12.29,33.63,0.366,0.351,0.015
16,1610612741,11.74,31.35,0.374,0.358,0.017
17,1610612762,13,35.08,0.371,0.354,0.017
18,1610612757,14,38,0.368,0.35,0.018
19,1610612737,12,32.5,0.369,0.35,0.019
20,1610612747,12.58,33.83,0.372,0.353,0.019
21,1610612751,13.7,36.52,0.375,0.355,0.02
22,1610612764,12.92,34,0.38,0.355,0.025
23,1610612759,13.26,35.35,0.375,0.35,0.025
24,1610612760,15.17,39.88,0.38,0.354,0.027
25,1610612766,14,36.95,0.379,0.352,0.027
26,1610612739,12.5,32.46,0.385,0.354,0.031
27,1610612749,15.5,39.55,0.392,0.357,0.035
28,1610612758,14.68,36.95,0.397,0.354,0.044
29,1610612754,13.77,34.68,0.397,0.35,0.048
