,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612744,39.04,86.39,0.452,0.464,-0.012
1,1610612738,39.41,87.64,0.45,0.461,-0.011
2,1610612752,38.09,83.74,0.455,0.462,-0.008
3,1610612753,40.55,89.5,0.453,0.458,-0.005
4,1610612746,41.33,90.29,0.458,0.462,-0.004
5,1610612756,39.5,87.04,0.454,0.457,-0.003
6,1610612763,41.45,90,0.461,0.462,-0.001
7,1610612748,38.87,84.57,0.46,0.46,-0.001
8,1610612762,40.13,87.46,0.459,0.459,-0.001
9,1610612742,39.7,85.83,0.463,0.462,0.001
10,1610612751,40.87,89.26,0.458,0.456,0.002
11,1610612761,39.6,85,0.466,0.463,0.003
12,1610612765,40.04,86,0.466,0.46,0.005
13,1610612750,41.7,88.35,0.472,0.459,0.012
14,1610612759,42.52,90.3,0.471,0.459,0.012
15,1610612749,43.91,91.82,0.478,0.465,0.013
16,1610612755,40.67,85.46,0.476,0.459,0.017
17,1610612766,42.45,89.18,0.476,0.459,0.017
18,1610612743,42.83,89.38,0.479,0.46,0.019
19,1610612740,40.96,84.57,0.484,0.465,0.02
20,1610612739,41.46,86.67,0.478,0.458,0.02
21,1610612745,43.75,90.63,0.483,0.461,0.022
22,1610612764,42.92,89.13,0.482,0.458,0.023
23,1610612760,44.42,91.46,0.486,0.461,0.025
24,1610612737,42.71,88.54,0.482,0.458,0.025
25,1610612758,43.82,89.27,0.491,0.463,0.028
26,1610612741,42.43,86.13,0.493,0.461,0.031
27,1610612757,42.26,85.17,0.496,0.46,0.036
28,1610612747,45.75,90.67,0.505,0.464,0.041
29,1610612754,45.86,89.77,0.511,0.456,0.055
