,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612749,Milwaukee Bucks,MIL,24,24,0.402,518,923,0.561,0.592,-0.031
1,1610612762,Utah Jazz,UTA,22,22,0.423,490,880,0.557,0.588,-0.031
2,1610612739,Cleveland Cavaliers,CLE,21,21,0.464,452,813,0.556,0.586,-0.03
3,1610612750,Minnesota Timberwolves,MIN,21,21,0.441,468,825,0.567,0.597,-0.03
4,1610612744,Golden State Warriors,GSW,24,24,0.416,517,914,0.566,0.59,-0.025
5,1610612756,Phoenix Suns,PHX,22,22,0.439,480,835,0.575,0.596,-0.021
6,1610612763,Memphis Grizzlies,MEM,25,25,0.424,547,946,0.578,0.595,-0.016
7,1610612752,New York Knicks,NYK,22,22,0.423,467,807,0.579,0.594,-0.015
8,1610612751,Brooklyn Nets,BKN,24,24,0.48,600,1033,0.581,0.594,-0.013
9,1610612747,Los Angeles Lakers,LAL,23,23,0.435,542,937,0.578,0.589,-0.01
10,1610612741,Chicago Bulls,CHI,23,23,0.397,453,777,0.583,0.591,-0.008
11,1610612766,Charlotte Hornets,CHA,22,22,0.477,547,946,0.578,0.586,-0.008
12,1610612738,Boston Celtics,BOS,23,23,0.421,509,873,0.583,0.591,-0.008
13,1610612746,LA Clippers,LAC,21,21,0.447,515,861,0.598,0.594,0.004
14,1610612758,Sacramento Kings,SAC,25,25,0.432,579,960,0.603,0.594,0.009
15,1610612765,Detroit Pistons,DET,23,23,0.437,521,870,0.599,0.589,0.01
16,1610612737,Atlanta Hawks,ATL,23,23,0.481,613,1004,0.611,0.598,0.013
17,1610612742,Dallas Mavericks,DAL,22,22,0.444,532,881,0.604,0.588,0.016
18,1610612764,Washington Wizards,WAS,24,24,0.449,581,961,0.605,0.589,0.016
19,1610612761,Toronto Raptors,TOR,23,23,0.454,518,848,0.611,0.595,0.016
20,1610612759,San Antonio Spurs,SAS,23,23,0.478,620,1016,0.61,0.594,0.016
21,1610612755,Philadelphia 76ers,PHI,25,25,0.418,549,895,0.613,0.597,0.017
22,1610612743,Denver Nuggets,DEN,23,23,0.444,554,913,0.607,0.589,0.018
23,1610612760,Oklahoma City Thunder,OKC,25,25,0.404,541,885,0.611,0.591,0.02
24,1610612757,Portland Trail Blazers,POR,24,24,0.486,640,1037,0.617,0.593,0.024
25,1610612753,Orlando Magic,ORL,23,23,0.382,468,761,0.615,0.59,0.025
26,1610612740,New Orleans Pelicans,NOP,23,23,0.423,515,825,0.624,0.593,0.031
27,1610612754,Indiana Pacers,IND,22,22,0.503,637,1022,0.623,0.588,0.035
28,1610612745,Houston Rockets,HOU,24,24,0.424,566,886,0.639,0.595,0.043
29,1610612748,Miami Heat,MIA,23,23,0.4,501,777,0.645,0.59,0.054
