,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
8,2021-22,GSW,Golden State Warriors,22100959,2022-03-05,GSW @ LAL,45.75,90.67,0.505,0.464,0.041,Los Angeles Lakers,LAL,24,24,0.434,24.92,39.33,0.633,0.591,0.043,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
47,2021-22,GSW,Golden State Warriors,22100943,2022-03-03,GSW @ DAL,39.7,85.83,0.463,0.462,0.001,Dallas Mavericks,DAL,23,23,0.445,22.96,38.17,0.601,0.587,0.014,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
51,2021-22,GSW,Golden State Warriors,22100930,2022-03-01,GSW @ MIN,41.7,88.35,0.472,0.459,0.012,Minnesota Timberwolves,MIN,23,23,0.425,22.91,37.52,0.611,0.582,0.029,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
48,2021-22,GSW,Golden State Warriors,22100917,2022-02-27,GSW vs. DAL,39.7,85.83,0.463,0.462,0.001,Dallas Mavericks,DAL,23,23,0.445,22.96,38.17,0.601,0.587,0.014,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
55,2021-22,GSW,Golden State Warriors,22100894,2022-02-24,GSW @ POR,42.26,85.17,0.496,0.46,0.036,Portland Trail Blazers,POR,23,23,0.443,24.3,37.74,0.644,0.581,0.063,28.26,47.17,0.599,0.535,0.064,1610612757,14.0,38.0,0.368,0.35,0.018,100.6,114.0
41,2021-22,GSW,Golden State Warriors,22100883,2022-02-16,GSW vs. DEN,42.83,89.38,0.479,0.46,0.019,Denver Nuggets,DEN,24,24,0.428,23.04,38.21,0.603,0.583,0.02,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
44,2021-22,GSW,Golden State Warriors,22100866,2022-02-14,GSW @ LAC,41.33,90.29,0.458,0.462,-0.004,LA Clippers,LAC,21,21,0.449,22.33,40.52,0.551,0.588,-0.037,29.33,57.48,0.51,0.536,-0.026,1610612746,12.0,32.81,0.366,0.352,0.014,100.2,107.5
9,2021-22,GSW,Golden State Warriors,22100854,2022-02-12,GSW vs. LAL,45.75,90.67,0.505,0.464,0.041,Los Angeles Lakers,LAL,24,24,0.434,24.92,39.33,0.633,0.591,0.043,33.17,56.83,0.584,0.537,0.047,1610612747,12.58,33.83,0.372,0.353,0.019,102.3,110.9
58,2021-22,GSW,Golden State Warriors,22100837,2022-02-10,GSW vs. NYK,38.09,83.74,0.455,0.462,-0.008,New York Knicks,NYK,23,23,0.389,19.78,32.61,0.607,0.581,0.026,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35.0,0.332,0.356,-0.024,98.4,107.6
16,2021-22,GSW,Golden State Warriors,22100828,2022-02-09,GSW @ UTA,40.13,87.46,0.459,0.459,-0.001,Utah Jazz,UTA,24,24,0.388,19.29,33.92,0.569,0.582,-0.013,27.13,52.38,0.518,0.531,-0.013,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
