,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
58,2021-22,BOS,Boston Celtics,22100347,2021-12-04,BOS @ POR,W,48.0,49,87,0.563,21,37,0.568,26,29,0.897,12,34,46,26,12.0,5,7,2,21,21,145,28.0,1,1,1,1,8,7,38,4,4,38,1,5,7,16,21,47,37,31,24,60,24,8,60,25,1,10,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
59,2021-22,BOS,Boston Celtics,22100339,2021-12-03,BOS @ UTA,L,48.0,47,91,0.516,14,39,0.359,22,22,1.0,5,25,30,23,6.0,9,3,3,22,27,130,-7.0,1,52,52,52,8,10,18,17,32,32,40,14,33,1,78,81,81,47,1,15,64,14,66,4,9,68,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
60,2021-22,BOS,Boston Celtics,22100322,2021-12-01,BOS vs. PHI,W,48.0,33,79,0.418,11,28,0.393,11,15,0.733,4,42,46,18,13.0,5,8,9,15,17,88,1.0,1,1,1,1,8,75,74,65,48,72,21,68,64,67,81,8,37,75,32,60,14,78,11,53,79,51,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
61,2021-22,BOS,Boston Celtics,22100302,2021-11-28,BOS @ TOR,W,48.0,34,82,0.415,12,34,0.353,29,31,0.935,12,41,53,24,18.0,5,3,5,19,24,109,12.0,1,1,1,1,8,72,59,67,40,54,42,2,4,7,21,13,12,40,70,60,64,48,39,9,45,28,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
62,2021-22,BOS,Boston Celtics,22100287,2021-11-26,BOS @ SAS,L,48.0,34,92,0.37,10,34,0.294,10,15,0.667,12,39,51,20,11.0,4,8,6,20,15,88,-8.0,1,52,52,52,8,72,15,80,59,54,64,73,64,76,21,22,20,65,15,74,14,56,47,66,79,69,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
63,2021-22,BOS,Boston Celtics,22100270,2021-11-24,BOS vs. BKN,L,48.0,34,91,0.374,11,48,0.229,25,28,0.893,15,30,45,25,11.0,6,5,4,24,23,104,-19.0,1,52,52,52,8,72,18,78,48,4,77,7,10,19,10,66,43,35,15,47,47,25,75,13,57,79,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
64,2021-22,BOS,Boston Celtics,22100256,2021-11-22,BOS vs. HOU,W,48.0,39,92,0.424,12,35,0.343,18,19,0.947,11,47,58,19,15.0,10,3,4,24,20,108,18.0,1,1,1,1,8,45,15,62,40,52,48,33,47,4,32,2,2,71,58,7,64,25,75,35,46,20,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
65,2021-22,BOS,Boston Celtics,22100243,2021-11-20,BOS vs. OKC,W,48.0,41,88,0.466,17,39,0.436,12,14,0.857,8,40,48,28,7.0,4,7,0,11,15,111,6.0,1,1,1,1,8,39,32,43,15,32,13,63,68,29,54,19,28,21,2,74,24,1,1,66,40,42,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
66,2021-22,BOS,Boston Celtics,22100232,2021-11-19,BOS vs. LAL,W,48.0,44,88,0.5,11,30,0.367,31,38,0.816,12,39,51,22,14.0,7,2,6,20,29,130,22.0,1,1,1,1,8,21,32,21,48,66,35,1,1,43,21,22,20,57,46,38,75,56,47,2,9,15,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
67,2021-22,BOS,Boston Celtics,22100215,2021-11-17,BOS @ ATL,L,48.0,37,84,0.44,11,41,0.268,14,17,0.824,12,30,42,24,14.0,9,2,4,17,17,99,-11.0,1,52,52,52,8,58,52,54,48,21,73,54,57,39,21,66,58,40,46,15,75,25,30,53,67,74,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
68,2021-22,BOS,Boston Celtics,22100199,2021-11-15,BOS @ CLE,W,48.0,36,78,0.462,10,29,0.345,16,20,0.8,6,40,46,23,14.0,7,6,3,16,18,98,6.0,1,1,1,1,8,63,76,45,59,68,45,46,41,46,72,19,37,47,46,38,34,14,22,49,70,42,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
69,2021-22,BOS,Boston Celtics,22100190,2021-11-13,BOS @ CLE,L,48.0,33,78,0.423,6,23,0.261,17,18,0.944,10,37,47,20,20.0,7,3,4,16,19,89,-2.0,1,52,52,52,8,75,76,64,78,82,74,38,52,6,44,27,31,65,77,38,64,25,22,42,78,53,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
70,2021-22,BOS,Boston Celtics,22100175,2021-11-12,BOS vs. MIL,W,53.0,47,96,0.49,12,41,0.293,16,18,0.889,16,37,53,22,17.0,5,7,3,12,19,122,9.0,1,1,1,1,3,10,8,27,40,21,65,46,52,21,5,27,12,57,67,60,24,14,2,42,20,36,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
71,2021-22,BOS,Boston Celtics,22100160,2021-11-10,BOS vs. TOR,W,48.0,42,94,0.447,10,29,0.345,10,15,0.667,12,32,44,21,15.0,10,5,8,13,17,104,16.0,1,1,1,1,8,31,12,50,59,68,45,73,64,76,21,59,49,63,58,7,47,74,6,53,57,22,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
72,2021-22,BOS,Boston Celtics,22100136,2021-11-06,BOS @ DAL,L,48.0,42,86,0.488,9,31,0.29,11,16,0.688,8,28,36,20,11.0,6,2,6,14,18,104,-3.0,1,52,52,52,8,31,41,30,70,64,66,68,62,75,54,73,79,65,15,47,75,56,8,49,57,55,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
73,2021-22,BOS,Boston Celtics,22100121,2021-11-04,BOS @ MIA,W,48.0,31,78,0.397,16,41,0.39,17,20,0.85,11,35,46,16,16.0,7,4,0,16,19,95,17.0,1,1,1,1,8,81,76,73,23,21,22,38,41,33,32,44,37,78,62,38,57,1,22,42,73,21,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
74,2021-22,BOS,Boston Celtics,22100110,2021-11-03,BOS @ ORL,W,48.0,33,79,0.418,10,37,0.27,16,25,0.64,9,41,50,24,11.0,7,9,1,20,20,92,13.0,1,1,1,1,8,75,74,65,59,38,71,46,22,80,50,13,25,40,15,38,8,4,47,35,74,26,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
75,2021-22,BOS,Boston Celtics,22100098,2021-11-01,BOS vs. CHI,L,48.0,42,96,0.438,15,33,0.455,15,20,0.75,13,25,38,20,9.0,10,1,8,15,19,114,-14.0,1,52,52,52,8,31,8,57,27,57,11,51,41,60,17,81,71,65,5,7,80,74,11,42,31,76,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
76,2021-22,BOS,Boston Celtics,22100078,2021-10-30,BOS @ WAS,L,58.0,44,107,0.411,2,26,0.077,22,25,0.88,8,46,54,23,12.0,8,10,7,32,22,112,-3.0,1,52,52,52,1,21,2,69,82,78,82,14,22,26,54,3,9,47,24,26,2,69,82,17,38,55,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
77,2021-22,BOS,Boston Celtics,22100056,2021-10-27,BOS vs. WAS,L,48.0,37,85,0.435,10,29,0.345,23,28,0.821,10,27,37,18,13.0,9,5,7,21,20,107,-9.0,1,52,52,52,8,58,48,58,59,68,45,11,10,40,44,77,75,75,32,15,47,69,60,35,48,71,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
78,2021-22,BOS,Boston Celtics,22100041,2021-10-25,BOS @ CHA,W,53.0,50,101,0.495,19,50,0.38,21,25,0.84,11,42,53,33,12.0,8,9,6,23,25,140,11.0,1,1,1,1,3,4,4,24,9,2,26,19,22,36,32,8,12,5,24,26,8,56,70,7,3,30,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
79,2021-22,BOS,Boston Celtics,22100037,2021-10-24,BOS @ HOU,W,48.0,38,86,0.442,15,47,0.319,16,20,0.8,6,37,43,22,12.0,10,6,4,22,20,107,10.0,1,1,1,1,8,51,41,53,27,6,55,46,41,46,72,27,55,57,24,7,34,25,66,35,48,32,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
80,2021-22,BOS,Boston Celtics,22100020,2021-10-22,BOS vs. TOR,L,48.0,32,82,0.39,11,34,0.324,8,11,0.727,10,32,42,19,25.0,6,12,2,19,13,83,-32.0,1,52,52,52,8,80,59,75,48,54,52,77,76,69,44,59,58,71,82,47,1,8,39,80,81,82,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
81,2021-22,BOS,Boston Celtics,22100005,2021-10-20,BOS @ NYK,L,58.0,48,117,0.41,21,57,0.368,17,23,0.739,15,41,56,34,18.0,13,9,10,24,22,134,-4.0,1,52,52,52,1,9,1,71,4,1,34,38,30,64,10,13,5,3,70,1,8,80,75,17,6,61,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
