,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
11,2021-22,ATL,Atlanta Hawks,22100906,2/26/22,ATL vs. TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
52,2021-22,ATL,Atlanta Hawks,22100891,2/24/22,ATL @ CHI,42.43,86.13,0.493,0.461,0.031,0.435,23.09,37.43,0.617,0.582,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
59,2021-22,ATL,Atlanta Hawks,22100874,2/16/22,ATL @ ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
18,2021-22,ATL,Atlanta Hawks,22100867,2/15/22,ATL vs. CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
56,2021-22,ATL,Atlanta Hawks,22100856,2/13/22,ATL @ BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
63,2021-22,ATL,Atlanta Hawks,22100841,2/11/22,ATL vs. SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
25,2021-22,ATL,Atlanta Hawks,22100816,2/8/22,ATL vs. IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
65,2021-22,ATL,Atlanta Hawks,22100807,2/6/22,ATL @ DAL,39.7,85.83,0.463,0.462,0.001,0.445,22.96,38.17,0.601,0.587,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
12,2021-22,ATL,Atlanta Hawks,22100790,2/4/22,ATL @ TOR,39.6,85,0.466,0.463,0.003,0.424,21.2,36,0.589,0.585,27.28,50.32,0.542,0.533,0.009,1610612761,12.32,34.68,0.355,0.356,0,98.6,107.9
67,2021-22,ATL,Atlanta Hawks,22100783,2/3/22,ATL vs. PHX,39.5,87.04,0.454,0.457,-0.003,0.42,20.83,36.54,0.57,0.58,27.46,53.25,0.516,0.53,-0.014,1610612756,12.04,33.79,0.356,0.35,0.007,102,104.7
