,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
58,2021-22,ORL,Orlando Magic,22100337,2021-12-03,ORL @ HOU,L,48.0,42,86,0.488,13,37,0.351,19,21,0.905,10,35,45,24,18.0,6,4,5,21,16,116,-2.0,1,23,23,23,5,17,52,14,26,36,32,21,33,11,25,34,30,34,64,43,38,37,50,60,11,24,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
59,2021-22,ORL,Orlando Magic,22100320,2021-12-01,ORL vs. DEN,W,48.0,44,81,0.543,6,27,0.222,14,19,0.737,1,38,39,26,13.0,8,6,4,15,19,108,5.0,1,1,1,1,5,9,70,1,80,76,77,46,46,60,81,22,64,21,27,21,13,22,10,29,33,17,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
60,2021-22,ORL,Orlando Magic,22100305,2021-11-29,ORL @ PHI,L,48.0,37,90,0.411,8,33,0.242,14,18,0.778,8,47,55,20,12.0,7,6,6,21,19,96,-5.0,1,23,23,23,5,47,30,55,73,59,75,46,49,45,46,1,4,64,19,29,13,47,50,29,61,32,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
61,2021-22,ORL,Orlando Magic,22100295,2021-11-27,ORL @ CLE,L,48.0,35,88,0.398,8,32,0.25,14,23,0.609,8,35,43,21,9.0,11,5,9,16,18,92,-13.0,1,23,23,23,5,60,40,64,73,62,73,46,22,79,46,34,46,56,3,5,22,75,14,42,67,55,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
62,2021-22,ORL,Orlando Magic,22100283,2021-11-26,ORL vs. CHI,L,48.0,30,80,0.375,7,32,0.219,21,30,0.7,5,31,36,18,15.0,7,5,1,16,24,88,-35.0,1,23,23,23,5,78,74,75,76,62,78,13,2,65,72,65,76,70,42,29,22,1,14,1,77,81,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
63,2021-22,ORL,Orlando Magic,22100269,2021-11-24,ORL vs. CHA,L,48.0,38,93,0.409,15,42,0.357,8,10,0.8,10,41,51,23,15.0,5,1,11,19,16,99,-7.0,1,23,23,23,5,39,19,57,16,16,30,77,78,33,25,11,10,45,42,58,77,80,31,60,55,38,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
64,2021-22,ORL,Orlando Magic,22100258,2021-11-22,ORL @ MIL,L,48.0,34,93,0.366,11,41,0.268,13,18,0.722,15,32,47,16,16.0,6,4,7,17,22,92,-31.0,1,23,23,23,5,67,19,77,45,17,71,51,49,63,3,57,21,80,49,43,38,58,20,10,67,77,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
65,2021-22,ORL,Orlando Magic,22100244,2021-11-20,ORL @ MIL,L,48.0,39,98,0.398,19,51,0.373,11,14,0.786,6,33,39,26,10.0,5,3,5,24,18,108,-9.0,1,23,23,23,5,35,3,63,2,2,17,63,67,41,67,48,64,21,8,58,56,37,66,42,33,41,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
66,2021-22,ORL,Orlando Magic,22100233,2021-11-19,ORL @ BKN,L,48.0,40,89,0.449,14,38,0.368,19,25,0.76,11,34,45,26,13.0,7,6,13,25,19,113,-2.0,1,23,23,23,5,28,37,30,22,31,21,21,15,53,21,42,30,21,27,29,13,82,71,29,19,24,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
67,2021-22,ORL,Orlando Magic,22100218,2021-11-17,ORL @ NYK,W,48.0,39,96,0.406,11,38,0.289,15,18,0.833,14,37,51,20,15.0,7,3,7,19,20,104,6.0,1,1,1,1,5,35,8,60,45,31,59,42,49,25,6,26,10,64,42,29,56,58,31,22,43,12,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
68,2021-22,ORL,Orlando Magic,22100202,2021-11-15,ORL @ ATL,L,48.0,43,95,0.453,16,43,0.372,9,14,0.643,12,29,41,30,16.0,8,5,7,27,17,111,-18.0,1,23,23,23,5,12,11,26,10,10,18,74,67,77,11,76,57,10,49,21,22,58,79,51,21,67,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
69,2021-22,ORL,Orlando Magic,22100187,2021-11-13,ORL vs. WAS,L,48.0,31,92,0.337,13,40,0.325,17,20,0.85,14,30,44,21,13.0,7,5,7,15,17,92,-12.0,1,23,23,23,5,76,24,81,26,22,38,31,39,22,6,74,40,56,27,29,22,58,10,51,67,51,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
70,2021-22,ORL,Orlando Magic,22100159,2021-11-10,ORL vs. BKN,L,48.0,35,92,0.38,4,33,0.121,16,24,0.667,12,37,49,19,17.0,10,3,5,18,18,90,-33.0,1,23,23,23,5,60,24,70,82,59,82,35,18,73,11,26,17,68,58,8,56,37,24,42,72,79,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
71,2021-22,ORL,Orlando Magic,22100141,2021-11-07,ORL vs. UTA,W,48.0,43,87,0.494,12,32,0.375,9,11,0.818,7,32,39,24,13.0,8,8,7,22,17,107,7.0,1,1,1,1,5,12,45,10,34,62,15,74,75,26,62,57,64,34,27,21,5,58,58,51,37,9,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
72,2021-22,ORL,Orlando Magic,22100125,2021-11-05,ORL vs. SAS,L,48.0,35,89,0.393,12,41,0.293,7,10,0.7,7,36,43,23,18.0,9,12,7,13,14,89,-13.0,1,23,23,23,5,60,37,66,34,17,58,79,78,65,62,30,46,45,64,12,1,58,5,69,75,55,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
73,2021-22,ORL,Orlando Magic,22100110,2021-11-03,ORL vs. BOS,L,48.0,27,84,0.321,9,43,0.209,16,20,0.8,8,38,46,15,15.0,8,1,9,20,20,79,-13.0,1,23,23,23,5,82,60,82,67,10,79,35,39,33,46,22,25,82,42,21,77,75,41,22,82,55,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
74,2021-22,ORL,Orlando Magic,22100101,2021-11-01,ORL @ MIN,W,48.0,37,82,0.451,17,43,0.395,24,30,0.8,12,39,51,21,16.0,5,7,1,19,20,115,18.0,1,1,1,1,5,47,69,28,6,10,12,3,2,33,11,17,10,56,49,58,8,1,31,22,13,2,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
75,2021-22,ORL,Orlando Magic,22100079,2021-10-30,ORL @ DET,L,48.0,38,87,0.437,16,32,0.5,11,15,0.733,12,34,46,21,18.0,5,6,6,21,18,103,-7.0,1,23,23,23,5,39,45,39,10,62,2,63,63,61,11,42,25,56,64,58,13,47,50,42,47,38,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
76,2021-22,ORL,Orlando Magic,22100071,2021-10-29,ORL @ TOR,L,48.0,41,87,0.471,16,34,0.471,11,16,0.688,12,34,46,24,17.0,1,5,2,24,18,109,-1.0,1,23,23,23,5,24,45,21,10,55,5,63,54,70,11,42,25,34,58,82,22,7,66,42,31,23,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
77,2021-22,ORL,Orlando Magic,22100055,2021-10-27,ORL vs. CHA,L,48.0,43,88,0.489,15,40,0.375,10,13,0.769,8,25,33,22,19.0,6,2,4,21,14,111,-9.0,1,23,23,23,5,12,40,13,16,22,15,70,70,50,46,82,81,51,70,43,69,22,50,69,21,41,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
78,2021-22,ORL,Orlando Magic,22100045,2021-10-25,ORL @ MIA,L,48.0,33,81,0.407,12,44,0.273,12,19,0.632,6,33,39,21,18.0,7,6,2,22,19,90,-17.0,1,23,23,23,5,71,70,58,34,8,67,56,46,78,67,48,64,56,64,29,13,7,58,29,72,64,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
79,2021-22,ORL,Orlando Magic,22100036,2021-10-24,ORL @ NYK,W,48.0,36,88,0.409,12,43,0.279,26,34,0.765,10,47,57,22,13.0,7,4,8,25,21,110,6.0,1,1,1,1,5,53,40,56,34,10,64,1,1,52,25,1,2,51,27,29,38,68,71,17,25,12,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
80,2021-22,ORL,Orlando Magic,22100018,2021-10-22,ORL vs. NYK,L,48.0,33,83,0.398,17,43,0.395,13,15,0.867,9,37,46,24,19.0,5,3,4,18,19,96,-25.0,1,23,23,23,5,71,64,65,6,10,12,51,63,19,37,26,25,34,70,58,56,22,24,29,61,71,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
81,2021-22,ORL,Orlando Magic,22100010,2021-10-20,ORL @ SAS,L,48.0,35,86,0.407,9,29,0.31,18,23,0.783,13,31,44,17,16.0,6,6,3,20,22,97,-26.0,1,23,23,23,5,60,52,59,67,74,52,27,22,42,10,65,40,74,49,43,13,14,41,10,60,72,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
