,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
59,2021-22,ATL,Atlanta Hawks,22100335,2021-12-03,ATL vs. PHI,L,48.0,31,76,0.408,10,28,0.357,24,30,0.8,11,36,47,20,15.0,5,3,5,20,24,96,-2.0,1,44,44,44,2,81,81,71,63,69,48,10,10,50,29,24,26,65,67,63,53,46,53,12,73,44,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
60,2021-22,ATL,Atlanta Hawks,22100319,2021-12-01,ATL @ IND,W,48.0,44,86,0.512,16,33,0.485,10,12,0.833,7,34,41,24,13.0,4,8,4,15,18,114,3.0,1,1,1,1,2,24,50,21,14,49,8,76,79,37,59,38,55,44,46,70,4,27,8,55,43,37,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
61,2021-22,ATL,Atlanta Hawks,22100293,2021-11-27,ATL vs. NYK,L,48.0,33,93,0.355,9,37,0.243,15,20,0.75,13,39,52,18,7.0,8,6,3,17,17,90,-9.0,1,44,44,44,2,78,16,82,67,26,78,54,50,61,13,9,6,75,6,25,11,17,22,64,81,58,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
62,2021-22,ATL,Atlanta Hawks,22100285,2021-11-26,ATL @ MEM,W,48.0,52,89,0.584,13,27,0.481,15,21,0.714,9,40,49,33,12.0,8,5,7,15,19,132,32.0,1,1,1,1,2,1,36,1,36,74,9,54,43,67,44,6,13,3,33,25,21,69,8,46,4,1,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
63,2021-22,ATL,Atlanta Hawks,22100277,2021-11-24,ATL @ SAS,W,48.0,45,88,0.511,12,26,0.462,22,24,0.917,8,36,44,26,11.0,10,5,4,11,16,124,18.0,1,1,1,1,2,17,40,22,49,75,12,15,27,9,51,24,42,29,25,11,21,27,1,72,17,9,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
64,2021-22,ATL,Atlanta Hawks,22100255,2021-11-22,ATL vs. OKC,W,48.0,42,87,0.483,14,34,0.412,15,16,0.938,8,36,44,25,8.0,6,6,5,16,15,113,12.0,1,1,1,1,2,37,46,34,27,42,29,54,65,4,51,24,42,38,9,46,11,46,13,76,45,18,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
65,2021-22,ATL,Atlanta Hawks,22100242,2021-11-20,ATL vs. CHA,W,48.0,43,82,0.524,12,34,0.353,17,21,0.81,8,38,46,24,12.0,6,6,2,22,22,115,10.0,1,1,1,1,2,28,68,14,49,42,50,43,43,46,51,11,30,44,33,46,11,7,66,23,40,24,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
66,2021-22,ATL,Atlanta Hawks,22100215,2021-11-17,ATL vs. BOS,W,48.0,41,81,0.506,13,37,0.351,15,18,0.833,6,34,40,28,14.0,9,4,2,17,17,110,11.0,1,1,1,1,2,43,73,24,36,26,51,54,60,37,66,38,57,15,59,18,35,7,22,64,53,21,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
67,2021-22,ATL,Atlanta Hawks,22100202,2021-11-15,ATL vs. ORL,W,48.0,47,85,0.553,14,30,0.467,21,32,0.656,9,37,46,32,11.0,10,7,5,17,27,129,18.0,1,1,1,1,2,10,57,6,27,65,10,21,5,77,44,16,30,4,25,11,9,46,22,4,12,9,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
68,2021-22,ATL,Atlanta Hawks,22100193,2021-11-14,ATL vs. MIL,W,48.0,47,97,0.485,15,35,0.429,11,13,0.846,15,36,51,21,13.0,6,1,3,19,17,120,20.0,1,1,1,1,2,10,4,33,19,37,19,75,78,33,7,24,8,58,46,46,73,17,42,64,29,8,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
69,2021-22,ATL,Atlanta Hawks,22100182,2021-11-12,ATL @ DEN,L,48.0,38,93,0.409,5,28,0.179,15,21,0.714,14,36,50,20,8.0,2,5,5,20,21,96,-9.0,1,44,44,44,2,58,16,70,81,69,82,54,43,67,10,24,9,65,9,81,21,46,53,31,73,58,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
70,2021-22,ATL,Atlanta Hawks,22100156,2021-11-09,ATL @ UTA,L,48.0,37,85,0.435,18,35,0.514,6,10,0.6,6,26,32,22,13.0,6,5,4,18,20,98,-12.0,1,44,44,44,2,66,57,61,4,37,4,82,81,80,66,79,80,54,46,46,21,27,31,35,68,70,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
